!date time sst_c sst_c_fix
2018-05-29 17:00:00 15.57 15.57
2018-05-30 17:00:00 15.068 15.068
2018-05-31 17:00:00 14.6915 14.6915
2018-06-01 17:00:00 14.4405 14.4405
2018-06-02 17:00:00 14.1895 14.1895
2018-06-03 17:00:00 13.813 13.813
2018-06-04 17:00:00 13.6875 13.6875
2018-06-05 17:00:00 13.562 13.562
2018-06-06 17:00:00 13.562 13.562
2018-06-07 17:00:00 13.813 13.813
2018-06-08 17:00:00 14.1895 14.1895
2018-06-09 17:00:00 14.315 14.315
2018-06-10 17:00:00 14.566 14.566
2018-06-11 17:00:00 14.9425 14.9425
2018-06-12 17:00:00 15.068 15.068
2018-06-13 17:00:00 15.4445 15.4445
2018-06-14 17:00:00 15.57 15.57
2018-06-15 17:00:00 15.6955 15.6955
2018-06-16 17:00:00 16.072 16.072
2018-06-17 17:00:00 16.4485 16.4485
2018-06-18 17:00:00 16.825 16.825
2018-06-19 17:00:00 16.6995 16.6995
2018-06-20 17:00:00 16.6995 16.6995
2018-06-21 17:00:00 16.6995 16.6995
2018-06-22 17:00:00 16.9505 16.9505
2018-06-23 17:00:00 16.9505 16.9505
2018-06-24 17:00:00 17.076 17.076
2018-06-25 17:00:00 17.2015 17.2015
2018-06-26 17:00:00 17.4525 17.4525
2018-06-27 17:00:00 18.2055 18.2055
2018-06-28 17:00:00 18.7075 18.7075
2018-06-29 17:00:00 18.9585 18.9585
2018-06-30 17:00:00 19.2095 19.2095
2018-07-01 17:00:00 19.4605 19.4605
2018-07-02 17:00:00 19.7115 19.7115
2018-07-03 17:00:00 19.9625 19.9625
2018-07-04 17:00:00 20.4645 20.4645
2018-07-05 17:00:00 20.088 20.088
2018-07-06 17:00:00 19.084 19.084
2018-07-07 17:00:00 18.582 18.582
2018-07-08 17:00:00 18.582 18.582
2018-07-09 17:00:00 18.7075 18.7075
2018-07-10 17:00:00 18.833 18.833
2018-07-11 17:00:00 18.833 18.833
2018-07-12 17:00:00 18.9585 18.9585
2018-07-13 17:00:00 19.335 19.335
2018-07-14 17:00:00 19.586 19.586
2018-07-15 17:00:00 19.9625 19.9625
2018-07-16 17:00:00 19.9625 19.9625
2018-07-17 17:00:00 19.9625 19.9625
2018-07-18 17:00:00 19.586 19.586
2018-07-19 17:00:00 19.4605 19.4605
2018-07-20 17:00:00 19.4605 19.4605
2018-07-21 17:00:00 19.4605 19.4605
2018-07-22 17:00:00 19.4605 19.4605
2018-07-23 17:00:00 19.586 19.586
2018-07-24 17:00:00 19.586 19.586
2018-07-25 17:00:00 19.586 19.586
2018-07-26 17:00:00 19.586 19.586
2018-07-27 17:00:00 19.4605 19.4605
2018-07-28 17:00:00 19.335 19.335
2018-07-29 17:00:00 19.4605 19.4605
2018-07-30 17:00:00 19.4605 19.4605
2018-07-31 17:00:00 19.7115 19.7115
2018-08-01 17:00:00 19.837 19.837
2018-08-02 17:00:00 19.837 19.837
2018-08-03 17:00:00 19.9625 19.9625
2018-08-04 17:00:00 19.837 19.837
2018-08-05 17:00:00 19.9625 19.9625
2018-08-06 17:00:00 20.088 20.088
2018-08-07 17:00:00 20.088 20.088
2018-08-08 17:00:00 19.9625 19.9625
2018-08-09 17:00:00 19.9625 19.9625
2018-08-10 17:00:00 19.9625 19.9625
2018-08-11 17:00:00 20.088 20.088
2018-08-12 17:00:00 20.2135 20.2135
2018-08-13 17:00:00 20.088 20.088
2018-08-14 17:00:00 20.088 20.088
2018-08-15 17:00:00 19.9625 19.9625
2018-08-16 17:00:00 19.9625 19.9625
2018-08-17 17:00:00 19.837 19.837
2018-08-18 17:00:00 19.7115 19.7115
2018-08-19 17:00:00 19.7115 19.7115
2018-08-20 17:00:00 19.586 19.586
2018-08-21 17:00:00 19.586 19.586
2018-08-22 17:00:00 19.4605 19.4605
2018-08-23 17:00:00 19.4605 19.4605
2018-08-24 17:00:00 19.335 19.335
2018-08-25 17:00:00 19.4605 19.4605
2018-08-26 17:00:00 19.4605 19.4605
2018-08-27 17:00:00 19.7115 19.7115
2018-08-28 17:00:00 19.7115 19.7115
2018-08-29 17:00:00 19.7115 19.7115
2018-08-30 17:00:00 19.7115 19.7115
2018-08-31 17:00:00 19.586 19.586
2018-09-01 17:00:00 19.837 19.837
2018-09-02 17:00:00 20.088 20.088
2018-09-03 17:00:00 20.2135 20.2135
2018-09-04 17:00:00 20.339 20.339
2018-09-05 17:00:00 20.59 20.59
2018-09-06 17:00:00 20.59 20.59
2018-09-07 17:00:00 20.339 20.339
2018-09-08 17:00:00 19.9625 19.9625
2018-09-09 17:00:00 19.4605 19.4605
2018-09-10 17:00:00 18.833 18.833
2018-09-11 17:00:00 18.331 18.331
2018-09-12 17:00:00 18.2055 18.2055
2018-09-13 17:00:00 18.331 18.331
2018-09-14 17:00:00 18.4565 18.4565
2018-09-15 17:00:00 18.4565 18.4565
2018-09-16 17:00:00 18.582 18.582
2018-09-17 17:00:00 18.582 18.582
2018-09-18 17:00:00 18.7075 18.7075
2018-09-19 17:00:00 18.582 18.582
2018-09-20 17:00:00 18.582 18.582
2018-09-21 17:00:00 18.7075 18.7075
2018-09-22 17:00:00 18.4565 18.4565
2018-09-23 17:00:00 17.829 17.829
2018-09-24 17:00:00 17.578 17.578
2018-09-25 17:00:00 17.578 17.578
2018-09-26 17:00:00 17.327 17.327
2018-09-27 17:00:00 17.076 17.076
2018-09-28 17:00:00 16.9505 16.9505
2018-09-29 17:00:00 16.825 16.825
2018-09-30 17:00:00 16.6995 16.6995
2018-10-01 17:00:00 16.6995 16.6995
2018-10-02 17:00:00 16.825 16.825
2018-10-03 17:00:00 16.825 16.825
2018-10-04 17:00:00 16.6995 16.6995
2018-10-05 17:00:00 16.6995 16.6995
2018-10-06 17:00:00 16.9505 16.9505
2018-10-07 17:00:00 17.076 17.076
2018-10-08 17:00:00 17.076 17.076
2018-10-09 17:00:00 17.2015 17.2015
2018-10-10 17:00:00 17.076 17.076
2018-10-11 17:00:00 16.9505 16.9505
2018-10-12 17:00:00 16.574 16.574
2018-10-13 17:00:00 16.072 16.072
2018-10-14 17:00:00 15.6955 15.6955
2018-10-15 17:00:00 15.57 15.57
2018-10-16 17:00:00 15.068 15.068
2018-10-17 17:00:00 14.566 14.566
2018-10-18 17:00:00 14.315 14.315
2018-10-19 17:00:00 14.315 14.315
2018-10-20 17:00:00 14.064 14.064
2018-10-21 17:00:00 13.6875 13.6875
2018-10-22 17:00:00 13.4365 13.4365
2018-10-23 17:00:00 13.311 13.311
2018-10-24 17:00:00 13.311 13.311
2018-10-25 17:00:00 13.06 13.06
2018-10-26 17:00:00 13.06 13.06
2018-10-27 17:00:00 13.06 13.06
2018-10-28 17:00:00 12.9345 12.9345
2018-10-29 17:00:00 12.809 12.809
2018-10-30 17:00:00 12.809 12.809
2018-10-31 17:00:00 12.809 12.809
2018-11-01 17:00:00 12.6835 12.6835
2018-11-02 17:00:00 12.4325 12.4325
2018-11-03 17:00:00 12.1815 12.1815
2018-11-04 17:00:00 12.056 12.056
2018-11-05 17:00:00 12.056 12.056
2018-11-06 17:00:00 12.056 12.056
2018-11-07 17:00:00 12.056 12.056
2018-11-08 17:00:00 11.9305 11.9305
2018-11-09 17:00:00 11.4285 11.4285
2018-11-10 17:00:00 11.052 11.052
